id,listing_id,unit_id,updated_at
543037605,13241192,UN0000,2019-10-06 4:09:31
543037606,18201517,UN0000,2019-10-06 4:09:31
543037607,22476310,UN0000,2019-10-06 4:09:31
543037608,L0000,UN0000,2019-10-06 4:09:31
543037609,TL,UN0000,2019-10-06 4:09:31
543037610,UNREGISTERED,UN0000,2019-10-06 4:09:31
543037611,27994746,UN0001,2019-10-06 4:09:31
543037613,26785517,UN0004,2019-10-06 4:09:31
543037614,26647441,UN0005,2019-10-06 4:09:31
543037615,26718742,UN0006,2019-10-06 4:09:31
543037616,26644694,UN0007,2019-10-06 4:09:31
543037617,26998009,UN0007,2019-10-06 4:09:31
543037618,26706854,UN0008,2019-10-06 4:09:31
543037619,26969633,UN0008,2019-10-06 4:09:31
543037620,26822124,UN0011,2019-10-06 4:09:31
543037621,26502455,UN0014,2019-10-06 4:09:31
543037622,22841817,UN0016,2019-10-06 4:09:31
543037623,28854031,UN0024,2019-10-06 4:09:31
543037626,25491577,UN0033,2019-10-06 4:09:31
543037627,26065934,UN0033,2019-10-06 4:09:31
543037628,27234249,UN0033,2019-10-06 4:09:31
543037629,27234755,UN0033,2019-10-06 4:09:31
543037631,5056794,UN0034,2019-10-06 4:09:31
543037632,5056835,UN0034,2019-10-06 4:09:31
543037633,26281850,UN0035,2019-10-06 4:09:31
543037635,25814212,UN0037,2019-10-06 4:09:31
543037636,25592115,UN0038,2019-10-06 4:09:31
543037645,25017959,UN0050,2019-10-06 4:09:31
543037646,25985571,UN0050,2019-10-06 4:09:31
543037654,24949548,UN0056,2019-10-06 4:09:31
543037657,28712743,UN0058,2019-10-06 4:09:31
543037661,19774711,UN0065,2019-10-06 4:09:31
543037662,20790989,UN0066,2019-10-06 4:09:31
543037663,20971833,UN0067,2019-10-06 4:09:31
543037664,20974003,UN0068,2019-10-06 4:09:31
543037665,17272728,UN0069,2019-10-06 4:09:31
543037666,20791094,UN0069,2019-10-06 4:09:31
543037667,17425569,UN0070,2019-10-06 4:09:31
543037668,20527044,UN0073,2019-10-06 4:09:31
543037669,17242911,UN0074,2019-10-06 4:09:31
543037670,16431993,UN0076,2019-10-06 4:09:31
543037671,16472662,UN0076,2019-10-06 4:09:31
543037672,16431816,UN0085,2019-10-06 4:09:31
543037674,12766895,UN0099,2019-10-06 4:09:31
543037675,21050127,UN0100,2019-10-06 4:09:31
543037676,19023107,UN0103,2019-10-06 4:09:31
543037677,19074652,UN0104,2019-10-06 4:09:31
543037678,19987387,UN0111,2019-10-06 4:09:31
543037679,19987510,UN0111,2019-10-06 4:09:31
543037680,19987555,UN0111,2019-10-06 4:09:31
543037681,20020004,UN0111,2019-10-06 4:09:31
543037682,20017233,UN0114,2019-10-06 4:09:31
543037683,20132355,UN0115,2019-10-06 4:09:31
543037684,21760410,UN0116,2019-10-06 4:09:31
543037685,20017159,UN0117,2019-10-06 4:09:31
543037686,19987715,UN0119,2019-10-06 4:09:31
543037689,20986971,UN0122,2019-10-06 4:09:31
543037690,21047471,UN0122,2019-10-06 4:09:31
543037702,21569665,UN0131,2019-10-06 4:09:31
543037705,21369116,UN0132,2019-10-06 4:09:31
543037707,10077143,UN0133,2019-10-06 4:09:31
543037708,21462991,UN0133,2019-10-06 4:09:31
543037709,22286602,UN0136,2019-10-06 4:09:31
543037710,22413294,UN0137,2019-10-06 4:09:31
543037711,22392797,UN0138,2019-10-06 4:09:31
543037712,21285878,UN0139,2019-10-06 4:09:31
543037713,11894663,UN0140,2019-10-06 4:09:31
543037714,4892306,UN0140,2019-10-06 4:09:31
543037716,5056827,UN0141,2019-10-06 4:09:31
543037717,11893575,UN0142,2019-10-06 4:09:31
543037718,5056809,UN0142,2019-10-06 4:09:31
543037720,7654182,UN0142,2019-10-06 4:09:31
543037722,49479431,UN0143,2019-10-06 4:09:31
543037723,5056793,UN0143,2019-10-06 4:09:31
543037724,6771613,UN0143,2019-10-06 4:09:31
543037725,AGDL-5056793,UN0143,2019-10-06 4:09:31
543037728,5056826,UN0145,2019-10-06 4:09:31
543037729,5056808,UN0146,2019-10-06 4:09:31
543037732,5056792,UN0147,2019-10-06 4:09:31
543037734,5056807,UN0148,2019-10-06 4:09:31
543037735,13340308,UN0151,2019-10-06 4:09:31
543037736,13726203,UN0151,2019-10-06 4:09:31
543037737,13727069,UN0151,2019-10-06 4:09:31
543037738,13727456,UN0151,2019-10-06 4:09:31
543037741,12497969,UN0153,2019-10-06 4:09:31
543037742,1550198,UN0153,2019-10-06 4:09:31
543037743,155019801,UN0153,2019-10-06 4:09:31
543037744,11931424,UN0154,2019-10-06 4:09:31
543037745,12496285,UN0154,2019-10-06 4:09:31
543037748,155019803,UN0156,2019-10-06 4:09:31
543037749,7441122,UN0156,2019-10-06 4:09:31
543037753,8685400,UN0159,2019-10-06 4:09:31
543037755,10343874,UN0161,2019-10-06 4:09:31
543037756,17869964,UN0161,2019-10-06 4:09:31
543037758,155019804,UN0162,2019-10-06 4:09:31
543037760,10043388,UN0163,2019-10-06 4:09:31
543037762,11939374,UN0163,2019-10-06 4:09:31
543037765,8827431,UN0163,2019-10-06 4:09:31
543037766,10044497,UN0164,2019-10-06 4:09:31
543037768,33121196,UN0165,2019-10-06 4:09:31
543037769,11925511,UN0166,2019-10-06 4:09:31
543037770,12077862,UN0166,2019-10-06 4:09:31
543037771,12503423,UN0166,2019-10-06 4:09:31
543037772,21315122,UN0167,2019-10-06 4:09:31
543037773,21315112,UN0168,2019-10-06 4:09:31
543037774,21316190,UN0169,2019-10-06 4:09:31
543037775,21315965,UN0170,2019-10-06 4:09:31
543037776,21316359,UN0171,2019-10-06 4:09:31
543037778,23585106,UN0173,2019-10-06 4:09:31
543037779,20697902,UN0174,2019-10-06 4:09:31
543037780,24143181,UN0174,2019-10-06 4:09:31
543037781,20680492,UN0175,2019-10-06 4:09:31
543037782,22975003,UN0175,2019-10-06 4:09:31
543037783,23584243,UN0175,2019-10-06 4:09:31
543037784,22556938,UN0176,2019-10-06 4:09:31
543037785,20644507,UN0177,2019-10-06 4:09:31
543037787,20840922,UN0179,2019-10-06 4:09:31
543037788,34946883,UN0179,2019-10-06 4:09:31
543037789,21568336,UN0180,2019-10-06 4:09:31
543037790,11313300,UN0181,2019-10-06 4:09:31
543037791,11363106,UN0181,2019-10-06 4:09:31
543037792,16315135,UN0182,2019-10-06 4:09:31
543037793,16371383,UN0182,2019-10-06 4:09:31
543037794,16371411,UN0182,2019-10-06 4:09:31
543037795,22742315,UN0182,2019-10-06 4:09:31
543037796,16371714,UN0183,2019-10-06 4:09:31
543037797,16371813,UN0183,2019-10-06 4:09:31
543037798,16429427,UN0183,2019-10-06 4:09:31
543037799,17337314,UN0183,2019-10-06 4:09:31
543037800,20058984,UN0183,2019-10-06 4:09:31
543037801,20059064,UN0183,2019-10-06 4:09:31
543037802,22743429,UN0183,2019-10-06 4:09:31
543037803,22744226,UN0184,2019-10-06 4:09:31
543037804,16315304,UN0185,2019-10-06 4:09:31
543037805,16315576,UN0191,2019-10-06 4:09:31
543037806,16315171,UN0192,2019-10-06 4:09:31
543037807,21842724,UN0193,2019-10-06 4:09:31
543037808,16326691,UN0194,2019-10-06 4:09:31
543037809,16326556,UN0195,2019-10-06 4:09:31
543037810,18199523,UN0197,2019-10-06 4:09:31
543037811,18816401,UN0197,2019-10-06 4:09:31
543037812,16432109,UN0198,2019-10-06 4:09:31
543037813,17645143,UN0198,2019-10-06 4:09:31
543037814,22314511,UN0211,2019-10-06 4:09:31
543037817,24431696,UN0213,2019-10-06 4:09:31
543037818,21731740,UN0216,2019-10-06 4:09:31
543037819,22361978,UN0218,2019-10-06 4:09:31
543037820,14006254,UN0219,2019-10-06 4:09:31
543037821,16326989,UN0219,2019-10-06 4:09:31
543037822,204341801,UN0219,2019-10-06 4:09:31
543037824,204341802,UN0220,2019-10-06 4:09:31
543037826,204341805,UN0221,2019-10-06 4:09:31
543037827,204341806,UN0222,2019-10-06 4:09:31
543037829,204341807,UN0223,2019-10-06 4:09:31
543037830,21103200,UN0223,2019-10-06 4:09:31
543037832,204341808,UN0224,2019-10-06 4:09:31
543037833,21115628,UN0224,2019-10-06 4:09:31
543037836,204341809,UN0225,2019-10-06 4:09:31
543037837,21100566,UN0225,2019-10-06 4:09:31
543037840,204341810,UN0226,2019-10-06 4:09:31
543037841,21100492,UN0226,2019-10-06 4:09:31
543037843,204341811,UN0227,2019-10-06 4:09:31
543037846,204341812,UN0228,2019-10-06 4:09:31
543037850,22691457,UN0231,2019-10-06 4:09:31
543037851,22825221,UN0231,2019-10-06 4:09:31
543037852,24481654,UN0231,2019-10-06 4:09:31
543037853,21649618,UN0232,2019-10-06 4:09:31
543037854,21872386,UN0233,2019-10-06 4:09:31
543037855,22766349,UN0233,2019-10-06 4:09:31
543037856,22911298,UN0234,2019-10-06 4:09:31
543037857,24415448,UN0234,2019-10-06 4:09:31
543037858,22521089,UN0235,2019-10-06 4:09:31
543037859,22826801,UN0235,2019-10-06 4:09:31
543037860,22873836,UN0235,2019-10-06 4:09:31
543037861,24684102,UN0235,2019-10-06 4:09:31
543037863,13209328,UN0236,2019-10-06 4:09:31
543037864,16353402,UN0236,2019-10-06 4:09:31
543037868,14345381,UN0240,2019-10-06 4:09:31
543037877,19231347,UN0248,2019-10-06 4:09:31
543037879,20972552,UN0248,2019-10-06 4:09:31
543037880,20973118,UN0248,2019-10-06 4:09:31
543037881,19230264,UN0249,2019-10-06 4:09:31
543037885,25595836,UN0256,2019-10-06 4:09:31
543037886,3660995,UN0256,2019-10-06 4:09:31
543037887,366099503,UN0256,2019-10-06 4:09:31
543037888,5056788,UN0256,2019-10-06 4:09:31
543037892,26454008,UN0258,2019-10-06 4:09:31
543037894,366099501,UN0259,2019-10-06 4:09:31
543037895,5056833,UN0259,2019-10-06 4:09:31
543037896,26476591,UN0260,2019-10-06 4:09:31
543037897,21636266,UN0261,2019-10-06 4:09:31
543037898,19199623,UN0263,2019-10-06 4:09:31
543037905,17273833,UN0268,2019-10-06 4:09:31
543037906,16509537,UN0269,2019-10-06 4:09:31
543037907,16509971,UN0269,2019-10-06 4:09:31
543037908,16511739,UN0269,2019-10-06 4:09:31
543037909,16620049,UN0269,2019-10-06 4:09:31
543037910,16522243,UN0270,2019-10-06 4:09:31
543037911,17575029,UN0270,2019-10-06 4:09:31
543037912,17426934,UN0271,2019-10-06 4:09:31
543037914,23704106,UN0273,2019-10-06 4:09:31
543037920,20004660,UN0284,2019-10-06 4:09:31
543037921,21256764,UN0286,2019-10-06 4:09:31
543037922,20462040,UN0287,2019-10-06 4:09:31
543037923,20524336,UN0287,2019-10-06 4:09:31
543037924,20507611,UN0288,2019-10-06 4:09:31
543037925,20488418,UN0289,2019-10-06 4:09:31
543037926,20507885,UN0291,2019-10-06 4:09:31
543037927,17273453,UN0295,2019-10-06 4:09:31
543037928,16999489,UN0304,2019-10-06 4:09:31
543037929,17642879,UN0305,2019-10-06 4:09:31
543037930,17015334,UN0307,2019-10-06 4:09:31
543037931,21114514,UN0307,2019-10-06 4:09:31
543037932,17033388,UN0308,2019-10-06 4:09:31
543037933,17049181,UN0308,2019-10-06 4:09:31
543037934,17629299,UN0308,2019-10-06 4:09:31
543037935,17629527,UN0309,2019-10-06 4:09:31
543037936,17640902,UN0309,2019-10-06 4:09:31
543037937,17031107,UN0310,2019-10-06 4:09:31
543037938,22297124,UN0311,2019-10-06 4:09:31
543037939,22837602,UN0311,2019-10-06 4:09:31
543037940,22234448,UN0318,2019-10-06 4:09:31
543037941,908161,UN0319,2019-10-06 4:09:31
543037942,22737766,UN0320,2019-10-06 4:09:31
543037943,22769920,UN0321,2019-10-06 4:09:31
543037944,22774742,UN0323,2019-10-06 4:09:31
543037945,4845573,UN0324,2019-10-06 4:09:31
543037946,22181760,UN0328,2019-10-06 4:09:31
543037947,21209782,UN0329,2019-10-06 4:09:31
543037948,21257393,UN0329,2019-10-06 4:09:31
